Rk,School,G,Pts,Cmp,PAtt,Pct,PYds,PTD,RAtt,RYds,Avg,RTD,Plays,Yds,PFD,RFD,,,,,,,,
1,Penn State,2,4.5,16,25,64,105,0,29.5,110,3.7,0.5,54.5,215,5.5,1.5,,,12.5,4.5,52.5,0.5,1,1.5
2,South Carolina,2,4.5,16,28.5,56.1,130.5,0.5,27,60.5,2.2,0,55.5,191,3,1,,,11,7.5,59,0,0.5,0.5
3,Kansas State,2,5,8,19.5,41,47.5,0,34.5,96.5,2.8,0,54,144,6,0.5,,,9.5,2.5,25.5,1,0,1
4,Virginia,2,5.5,16.5,30.5,54.1,130,0,27.5,65.5,2.4,0.5,58,195.5,3,1.5,,,10.5,2.5,25,0.5,2,2.5
5,Iowa,2,6.5,11.5,21.5,53.5,115,0.5,32.5,72.5,2.2,0,54,187.5,2.5,0.5,,,8,6.5,53,0.5,0.5,1
6,Miami (FL),2,6.5,16.5,34,48.5,145.5,0,22,57.5,2.6,0,56,203,1.5,1,,,10.5,7.5,62,0,0,0
7,North Carolina,2,6.5,21.5,32,67.2,176.5,0,37,91.5,2.5,0.5,69,268,8,1,,,17,9,78.5,1,0.5,1.5
8,Notre Dame,2,6.5,13.5,21,64.3,140.5,0.5,32.5,65.5,2,0,53.5,206,4.5,0.5,,,11.5,5,40,2.5,0.5,3
9,Maryland,2,7,10,20,50,115.5,1,31,38.5,1.2,0,51,154,4,0.5,,,9,8.5,66,0.5,1.5,2
10,New Mexico,2,7,10,21.5,46.5,83.5,0.5,30,68.5,2.3,0.5,51.5,152,5.5,0.5,,,9.5,10,91,1.5,2.5,4
11,Indiana,2,8,16.5,24.5,67.3,129.5,0,32.5,82.5,2.5,0.5,57,212,3.5,1,,,11.5,8,65,0,1,1
12,James Madison,2,8,15.5,27,57.4,174,0.5,39,88.5,2.3,0,66,262.5,5,2.5,,,14.5,12,73.5,1,0,1
13,Oklahoma,2,8.5,9.5,17.5,54.3,98.5,0,39.5,132,3.3,1,57,230.5,5,2,,,12,7.5,62.5,1,0,1
14,UCF,2,9,14,24.5,57.1,143,0.5,41.5,105,2.5,0.5,66,248,5.5,0.5,,,12,9.5,61,0.5,0.5,1
15,Baylor,2,10,20,31,64.5,166.5,0,33,83,2.5,1,64,249.5,5.5,1.5,,,15.5,8,67,0.5,1.5,2
16,Texas A&M,2,10,14.5,25.5,56.9,142,1,26,76,2.9,0,51.5,218,4.5,0.5,,,10,8.5,51.5,2,1,3
17,Pitt,2,10.5,19.5,34,57.4,224,1,21.5,23.5,1.1,0.5,55.5,247.5,3.5,1,,,11.5,9,64,0,0.5,0.5
18,Georgia Southern,2,11,14.5,32,45.3,153,0.5,35,79,2.3,0,67,232,5,3.5,,,16,7,67.5,1,1,2
19,Michigan,2,11,16,27,59.3,139,0.5,37.5,116,3.1,0,64.5,255,8,3,,,17,7,58,0.5,0.5,1
20,TCU,2,11,15,26.5,56.6,211,0.5,28.5,55,1.9,0.5,55,266,2.5,2,,,13.5,5,37,1,1,2
21,Georgia,2,11.5,16.5,31.5,52.4,107,0.5,34.5,60,1.7,1,66,167,4.5,2,,,13.5,3.5,25,1,1,2
22,Auburn,2,12,24.5,43.5,56.3,252,1.5,35,76.5,2.2,0,78.5,328.5,4.5,2,,,19.5,8,62.5,0.5,1.5,2
23,Brigham Young,2,12,19,31,61.3,182.5,0.5,28,73,2.6,1,59,255.5,6,1.5,,,15,4.5,35,0.5,2,2.5
24,Florida,2,12,27.5,45.5,60.4,212,0.5,31,91,2.9,1,76.5,303,5,1.5,,,18,8,71.5,1.5,1,2.5
25,LSU,2,12,14,23,60.9,124,0.5,28.5,18,0.6,0.5,51.5,142,3,2,,,8,5,45.5,1,1,2
26,Syracuse,2,12,18,30,60,140.5,1,30,63.5,2.1,0,60,204,5,3,,,14,9,77,1,0.5,1.5
27,Utah,2,12,16.5,39,42.3,181.5,0.5,29.5,83.5,2.8,1,68.5,265,6,1,,,17,6,45.5,0.5,1,1.5
28,Virginia Tech,2,12,9,17,52.9,137,0.5,37,59.5,1.6,0.5,54,196.5,3.5,1,,,8.5,6.5,45,1.5,0.5,2
29,Washington,2,12,16.5,27,61.1,169,1,30,87.5,2.9,0.5,57,256.5,5,3,,,16,5.5,42.5,0.5,2.5,3
30,Cincinnati,2,12.5,21,36,58.3,195,0.5,29,119.5,4.1,1,65,314.5,7.5,2,,,18.5,6,41,0.5,1,1.5
31,Houston,2,13,19.5,34,57.4,251.5,1,23.5,10,0.4,1,57.5,261.5,1,1.5,,,12,5.5,43,1,0.5,1.5
32,Iowa State,2,13,19,26,73.1,166.5,0,37,80,2.2,1,63,246.5,5.5,0.5,,,13.5,5.5,41,1,0.5,1.5
33,Mississippi State,2,13,23.5,38,61.8,209.5,0.5,27.5,75.5,2.7,0,65.5,285,4,2.5,,,16,8.5,85,0,0,0
34,North Dakota State,3,13,11,20,55,126.7,0.7,36,103.7,2.9,1,56,230.3,7,2,,,14.7,7,57.7,0.7,1.7,2.3
35,Alabama,2,13.5,14.5,25.5,56.9,153,1,27,32.5,1.2,0,52.5,185.5,2,1.5,,,9.5,7.5,65.5,1,1,2
36,Appalachian State,2,13.5,19.5,34.5,56.5,214,1,31.5,119.5,3.8,0.5,66,333.5,7,0.5,,,17,6,51,0.5,1.5,2
37,Georgia State,2,13.5,16.5,29,56.9,192.5,1,25.5,78,3.1,0.5,54.5,270.5,5.5,0,,,13.5,5.5,52.5,0,0.5,0.5
38,Michigan State,2,13.5,14,23.5,59.6,157,1,23,89,3.9,1,46.5,246,6,1.5,,,11.5,5,25.5,0.5,0.5,1
39,Ohio State,2,13.5,21.5,37,58.1,157.5,0.5,32,93,2.9,1,69,250.5,7,1.5,,,19,2.5,13.5,0.5,1,1.5
40,Tulsa,2,13.5,26.5,42,63.1,278.5,1.5,34,91,2.7,0,76,369.5,8,3.5,,,23,7,67.5,1.5,1,2.5
41,Western Michigan,2,13.5,20,34.5,58,221.5,1,34.5,132,3.8,1,69,353.5,6.5,2.5,,,19.5,6.5,57,2,0.5,2.5
42,Nebraska,2,14,12,24,50,124,1,32.5,112,3.4,0.5,56.5,236,7,0.5,,,13,5,39.5,0.5,1,1.5
43,Duke,2,15,20.5,33,62.1,237.5,1.5,29,82.5,2.8,0,62,320,4.5,3,,,16.5,11,90,0.5,0.5,1
44,Texas,2,15,18.5,30.5,60.7,233,0.5,36,127.5,3.5,1,66.5,360.5,7,1,,,18.5,3.5,32.5,1,1,2
45,Army,2,15.5,15,26.5,56.6,168.5,1,27.5,98.5,3.6,1,54,267,6,1.5,,,15,4,25.5,0,0,0
46,Kennesaw State,2,15.5,15.5,24.5,63.3,182,0,36,139.5,3.9,1.5,60.5,321.5,6.5,0.5,,,15,8,59,1.5,0.5,2
47,Massachusetts,2,15.5,19.5,31.5,61.9,239.5,1.5,33.5,85,2.5,0.5,65,324.5,5,1.5,,,17,7.5,44.5,0.5,2,2.5
48,West Virginia,2,15.5,21.5,35,61.4,271.5,1.5,32,100,3.1,0,67,371.5,5,2,,,20,8,59.5,1.5,0.5,2
49,South Florida,2,16.5,20.5,30.5,67.2,214.5,1.5,38,149.5,3.9,0.5,68.5,364,10.5,0.5,,,20,6,47.5,1,1,2
50,Tennessee,2,16.5,18.5,31,59.7,132,0.5,33.5,156,4.7,1,64.5,288,8.5,3,,,17.5,5,45.5,0,1,1
51,Colorado,2,17,19.5,38,51.3,243.5,1.5,29.5,86.5,2.9,0,67.5,330,6,2.5,,,20,7.5,52,1,0.5,1.5
52,Nevada,2,17,20,32,62.5,194,0.5,40.5,154.5,3.8,1.5,72.5,348.5,9.5,3,,,22,9.5,92,1,0,1
53,North Carolina State,2,17,8.5,19,44.7,115.5,1,39.5,146,3.7,1,58.5,261.5,8.5,0,,,12.5,6,42.5,0.5,0.5,1
54,SMU,2,17,15.5,29.5,52.5,148,1,34.5,130.5,3.8,1,64,278.5,5,2,,,14,4.5,36,1,0.5,1.5
55,Texas Tech,2,17,25,42,59.5,268,1.5,24,65,2.7,0,66,333,4,2.5,,,17.5,5.5,38.5,0,1,1
56,UCLA,2,17,16,32.5,49.2,168,1.5,39,131.5,3.4,0.5,71.5,299.5,7.5,4,,,18.5,5,48,0.5,1.5,2
57,Arizona,2,17.5,17.5,28.5,61.4,208.5,1.5,25.5,70.5,2.8,0.5,54,279,5,0,,,12.5,6,45.5,0,0.5,0.5
58,Missouri,2,17.5,12.5,27.5,45.5,141.5,1.5,32.5,84.5,2.6,0.5,60,226,5.5,2,,,15.5,9.5,80,0.5,1,1.5
59,Vanderbilt,2,17.5,13.5,26.5,50.9,178,1,30.5,80,2.6,0.5,57,258,6,2.5,,,14.5,3,21.5,0,1,1
60,Northwestern,1,18,23,48,47.9,285,0,40,147,3.7,1,88,432,11,2,,,27,6,45,0,1,1
61,Colorado State,2,18.5,12.5,22,56.8,183,0.5,36.5,174.5,4.8,1.5,58.5,357.5,9.5,0.5,,,17.5,6,44.5,1.5,2.5,4
62,USC,3,18.7,14.7,23,63.8,174.3,1,27.7,95.7,3.5,1.3,50.7,270,4.7,2.3,,,15,3.3,28.3,0.3,0.3,0.7
