Rk,School,W,L,OSRS,DSRS,TSRS,Off,PYPA,RYPA
73,Air Force,1,1,5.78,-0.06,5.72,46.72,10.58,6.5
95,Akron,1,1,3.77,-1.38,2.39,39.75,7.93,6.08
8,Alabama,2,0,10.23,17.14,27.37,69.01,9.78,7.38
58,Appalachian State,2,0,2.09,5.46,7.56,52.67,10.85,6.78
94,Arizona,1,1,1.47,1.02,2.49,37.45,9.56,5.71
67,Arizona State,1,1,10.27,-4.13,6.14,69.5,13.3,7.49
118,Arkansas,1,1,-3.2,-3.31,-6.51,30.12,7.75,3.31
114,Arkansas State,1,1,-3.38,-0.96,-4.33,43.99,9.53,5.86
71,Army,1,1,3.3,2.66,5.96,59.87,10.24,9.54
14,Auburn,2,0,11.86,9.82,21.68,59.35,11.07,7.32
84,Ball State,1,1,8.51,-4.71,3.8,42.82,8.34,6.87
39,Baylor,1,1,1.52,8.87,10.39,47.25,7.81,5.67
27,Boise State,1,1,-0.7,14.56,13.86,45.14,6.94,8.04
124,Boston College,1,1,-5.57,-3.26,-8.83,33.61,9.98,5.23
132,Bowling Green,0,2,-11.66,-6.73,-18.39,18.14,9.54,2.5
126,Buffalo,1,1,0.49,-11.14,-10.64,28.47,5.56,5.13
42,BYU,2,0,5.13,4.69,9.82,59.78,9.71,7.74
45,California,1,1,17.83,-8.66,9.17,57.01,9.02,5.49
128,Central Michigan,1,1,-11.2,-1.98,-13.18,19.45,3.87,5.81
133,Charlotte,0,2,5.27,-26.63,-21.36,38.25,8.35,6.66
54,Cincinnati,2,0,7.5,0.66,8.16,60.87,8.72,7.82
22,Clemson,1,1,5.03,10.14,15.17,63.01,10.74,8.83
82,Coastal Carolina,1,1,3.8,0.02,3.82,46.45,9.41,5.44
89,Colorado,2,0,8.27,-5.63,2.64,45.25,11.72,4.54
56,Colorado State,2,0,16.8,-8.65,8.15,56.78,9.38,7.98
107,Connecticut,1,1,2.8,-4.65,-1.85,52.78,11.78,7.67
101,Delaware,1,1,3.8,-2.31,1.49,44.45,10.01,4.14
2,Duke,2,0,8.19,22.16,30.35,32.84,3.1,5.08
97,East Carolina,0,2,6.03,-4.06,1.97,47.21,10.49,7.58
105,Eastern Michigan,1,2,-2.08,0.88,-1.21,43.26,7.78,4.8
26,Florida,2,0,6.27,7.87,14.14,58.5,9.53,7.06
106,Florida Atlantic,1,1,7.86,-9.68,-1.82,52.85,7.26,4.54
93,Florida International,1,1,-4.17,6.74,2.57,46.61,10.28,7.29
78,Florida State,1,1,3.09,1.38,4.47,48.3,9.65,7
44,Fresno State,1,1,-7.42,16.95,9.53,45.04,11.49,5.82
111,Georgia,2,0,-3.98,0.87,-3.11,54.25,9.61,8.29
87,Georgia Southern,1,1,-4.31,7.46,3.16,30.27,7.8,4.41
38,Georgia State,2,0,10.47,0.35,10.82,60.45,10.36,7.06
122,Georgia Tech,0,2,-9.14,1.32,-7.82,35.85,11.57,3.26
129,Hawaii,1,2,-3.56,-9.74,-13.31,42.26,10.59,5.83
63,Houston,2,0,2.77,3.62,6.39,65.5,10.72,8.3
12,Illinois,1,1,26.53,-1.63,24.9,73.5,10.71,8.16
20,Indiana,2,0,3.76,14.03,17.79,61.96,15.15,7.25
65,Iowa,2,0,-11.14,17.32,6.18,41.35,7.67,8.72
90,Iowa State,1,1,7.27,-4.63,2.64,37.75,10.51,4.33
116,Jacksonville State,1,2,-5.05,-0.96,-6,42.23,9.97,5
88,James Madison,2,0,-5.53,8.35,2.82,67.78,11.6,7.78
104,Kansas,1,1,-0.2,0.69,0.49,47.12,11.36,5.32
96,Kansas State,2,0,-3.11,5.46,2.36,62.67,8.38,6.92
102,Kennesaw State,1,1,-4.2,5.69,1.49,44.45,7.61,6.78
113,Kent State,1,1,-1.53,-2.31,-3.85,31.78,8.4,5.79
76,Kentucky,1,1,10.69,-5.94,4.76,48.07,9.6,7.14
121,Liberty,1,1,0.8,-8.31,-7.51,30.12,9.9,4.63
62,Louisiana,1,1,8.7,-2.18,6.52,47.27,10.2,6.89
46,Louisiana Tech,1,1,4.69,4.46,9.16,75.67,12.71,6.99
100,Louisiana-Monroe,0,2,3.97,-2.34,1.63,54.05,5.87,6.58
91,Louisville,1,1,17.77,-15.13,2.64,61.75,13.05,6.7
1,LSU,2,0,21.03,15.14,36.17,72.81,12.13,6.6
57,Marshall,1,1,4.43,3.54,7.97,39.41,7.95,2.44
24,Maryland,2,0,3.8,10.35,14.15,62.45,9.23,8.27
79,Massachusetts,2,0,5.5,-1.34,4.16,38.87,10.79,5.55
86,Memphis,2,1,15.15,-11.95,3.2,56.4,15.94,8.04
36,Miami (FL),2,0,2.16,8.84,10.99,71.4,15.96,9.55
98,Miami (OH),1,1,5.02,-3.13,1.89,53.75,11.42,7.77
13,Michigan,2,0,4.83,17.94,22.77,46.01,11.57,6.39
18,Michigan State,2,0,8.85,11.73,20.58,54.37,11.48,6.19
85,Middle Tennessee State,1,1,8.89,-5.34,3.56,35.67,7.68,8.79
77,Minnesota,1,1,3.64,0.96,4.61,57.27,8.6,4.38
9,Mississippi State,2,0,13.86,13.05,26.91,62.4,8.7,8.04
34,Missouri,2,0,13.47,-1.65,11.82,57.45,11.01,5.59
68,Missouri State,1,1,3.77,2.37,6.14,48.5,11.83,5.57
109,Navy,1,1,4.77,-6.63,-1.86,35.5,4.23,6.99
33,Nebraska,2,0,5.66,6.43,12.09,66.29,7.97,5.91
135,Nevada,1,1,-16.98,-4.63,-21.61,15.75,4.8,6.69
120,Nevada-Las Vegas,1,2,-15.78,8.88,-6.9,29.93,8.17,5.85
49,New Mexico,2,0,5.13,3.35,8.49,66.78,9.57,5.75
125,New Mexico State,1,2,-2.15,-7.77,-9.92,42.09,10.12,4.88
50,North Carolina,2,0,-1.2,9.69,8.49,36.78,9.63,6.27
108,North Carolina State,1,1,-4.87,3.02,-1.85,61.12,10.21,9.73
32,North Dakota State,3,0,6.99,5.31,12.29,49.89,11.17,4.1
74,North Texas,1,1,12.15,-6.69,5.47,64.56,14.73,7.32
134,Northern Illinois,0,2,-4.23,-17.13,-21.36,24.25,7.57,2.33
110,Northwestern,1,0,6.53,-8.38,-1.86,34,11.38,7.23
