Rk,School,G,Pts,Cmp,PAtt,Pct,PYds,PTD,RAtt,RYds,Avg,RTD,Plays,Yds,PFD,RFD,,,,,,,,
1,Georgia,2,66.5,20.5,29,70.7,323.5,5,31,253,8.2,3.5,60,576.5,10.5,0.5,,,24.5,7.5,75.5,1,0,1
2,Miami (FL),2,61,28.5,32,89.1,427,5.5,38,275.5,7.3,3,70,702.5,14.5,1.5,,,34.5,3,27.5,0.5,0.5,1
3,Florida,2,59,22,29,75.9,321.5,3,35.5,247.5,7,4,64.5,569,9,3,,,27,5.5,63.5,0.5,1,1.5
4,Virginia Tech,2,58.5,29.5,38,77.6,339,2.5,41,178.5,4.4,4,79,517.5,12,2.5,,,28,8.5,62.5,2,0,2
5,Houston,2,55,17.5,25,70,254,3,43,308,7.2,4.5,68,562,15.5,2.5,,,29,7.5,55,0.5,0.5,1
6,Utah,2,54.5,18.5,27,68.5,285,3.5,41.5,252,6.1,4,68.5,537,13.5,1.5,,,28.5,4,30,0,0.5,0.5
7,New Mexico,2,54,12,21.5,55.8,166,2,48,246,5.1,5,69.5,412,13.5,5.5,,,25.5,4,32,0,0,0
8,Indiana,2,53.5,11,16,68.8,220,5,38,215,5.7,2,54,435,10,2,,,21,3.5,31.5,0.5,0,0.5
9,James Madison,2,53.5,15.5,22,70.5,207.5,2,33.5,232,6.9,3.5,55.5,439.5,10,2,,,21,7,81,0.5,0,0.5
10,Kansas State,2,52.5,21,30.5,68.9,219.5,3,42,303.5,7.2,3.5,72.5,523,16,1.5,,,29,1.5,17.5,0.5,1,1.5
11,Nebraska,2,52.5,22,32,68.8,278.5,4,38,256,6.7,3,70,534.5,13,2,,,28,8,65,0,0.5,0.5
12,South Carolina,2,51,19,29.5,64.4,232,2,40,341.5,8.5,4,69.5,573.5,15,2,,,28.5,4.5,37.5,0.5,0.5,1
13,Tennessee,2,50.5,15.5,24,64.6,228.5,3,46,314,6.8,3.5,70,542.5,15,1.5,,,26.5,10.5,101,1,0,1
14,Maryland,2,50,30,40,75,315.5,2,38,245,6.4,4.5,78,560.5,12,2.5,,,29,5.5,53.5,0,0,0
15,Mississippi State,2,50,21.5,32,67.2,322,3.5,41.5,298.5,7.2,3,73.5,620.5,14.5,2.5,,,31.5,7,69,0.5,0,0.5
16,Texas A&M,2,49,20,31.5,63.5,216,3,41,164,4,2,72.5,380,10.5,2,,,24.5,4.5,40,0.5,0.5,1
17,Louisville,2,48.5,19.5,28.5,68.4,341,2.5,38.5,211,5.5,3.5,67,552,11.5,1,,,24.5,8,86,0,0,0
18,Cincinnati,2,48,19.5,23,84.8,178.5,1.5,47.5,336,7.1,5,70.5,514.5,15,1.5,,,24.5,9,87,0,0,0
19,LSU,2,48,24.5,38.5,63.6,358,1.5,50.5,228,4.5,4,89,586,14.5,2,,,31.5,8,88,0.5,2,2.5
20,Louisiana Tech,2,47,15.5,23,67.4,219.5,3.5,34,114,3.4,2,57,333.5,6,2.5,,,15.5,3.5,32.5,1,0.5,1.5
