Rank,School,Conference USA,record,O-W%,SOS
#1,Texas,SEC,1-Feb,79.2%(19-5),225
#2,Arkansas,SEC,1-Jan,100.0%(22-0),222.3
#3,Oklahoma,SEC,1-Jan,91.7%(22-2),212.5
#4,Kentucky,SEC,1-Jan,86.4%(19-3),206
#5,Auburn,SEC,1-Feb,86.4%(19-3),201
#6,Mississippi State,SEC,1-Feb,81.8%(18-4),199.8
#7,Texas A&M,SEC,1-Feb,77.3%(17-5),198
#8,LSU,SEC,1-Feb,81.8%(18-4),197.8
#9,Missouri,SEC,1-Feb,81.8%(18-4),196.8
#10,Ole Miss,SEC,1-Feb,81.8%(18-4),196.3
#11,Michigan,Big Ten,1-Feb,66.7%(16-8),195.5
#12,Oregon State,Pac-12,0-2,50.0%(10-10),194
#13,Tennessee,SEC,1-Feb,77.3%(17-5),192.5
#14,Florida,SEC,1-Feb,81.8%(18-4),191.5
#15,Purdue,Big Ten,1-Jan,86.4%(19-3),189.5
#16,Vanderbilt,SEC,1-Feb,81.8%(18-4),188.8
#17,Boston College,ACC,1-Jan,72.7%(16-6),188
#18,North Carolina,ACC,1-Feb,72.7%(16-6),187.3
#19,Alabama,SEC,1-Feb,81.8%(18-4),186.5
#20,South Carolina,SEC,1-Feb,77.3%(17-5),185.8
#21,Ohio State,Big Ten,1-Jan,83.3%(20-4),185.5
#22,Oregon,Big Ten,1-Jan,81.8%(18-4),182
#22,Georgia,SEC,1-Feb,72.7%(16-6),182
#24,Stanford,ACC,1-Jan,69.6%(16-7),180.8
#25,Georgia Tech,ACC,0-2,81.8%(18-4),176.5
#26,Florida State,ACC,1-Jan,73.9%(17-6),176.3
#27,Colorado,Big 12,1-Feb,71.4%(15-6),175.8
#28,USC,Big Ten,1-Mar,68.0%(17-8),175.5
#28,Northwestern,Big Ten,1-Jan,68.2%(15-7),175.5
#30,Arizona State,Big 12,1-Jan,69.6%(16-7),173.3
#31,BYU,Big 12,1-Feb,68.2%(15-7),172
#32,West Virginia,Big 12,1-Feb,72.7%(16-6),170.8
#34,Syracuse,ACC,1-Jan,72.7%(16-6),169.3
#35,Cincinnati,Big 12,1-Feb,81.8%(18-4),168.8
#36,Clemson,ACC,1-Jan,72.7%(16-6),168
#37,Oklahoma State,Big 12,1-Jan,77.3%(17-5),167.5
#38,Washington,Big Ten,1-Feb,69.6%(16-7),166.8
#39,Kansas,Big 12,1-Jan,72.7%(16-6),165.8
#39,UCLA,Big Ten,1-Feb,68.0%(17-8),165.8
#41,Iowa State,Big 12,1-Jan,72.7%(16-6),165.5
#42,TCU,Big 12,1-Jan,77.3%(17-5),165.3
#43,Baylor,Big 12,1-Jan,72.7%(16-6),162
#44,Louisville,ACC,1-Jan,68.2%(15-7),161.8
#45,Arizona,Big 12,1-Jan,68.2%(15-7),161.3
#46,Nebraska,Big Ten,1-Feb,63.6%(14-8),161
#47,Virginia Tech,ACC,1-Feb,68.2%(15-7),160.5
#48,Maryland,Big Ten,1-Feb,69.6%(16-7),160.3
#49,Wisconsin,Big Ten,1-Jan,75.0%(18-6),159.5
#50,UCF,Big 12,1-Jan,72.7%(16-6),158
#51,Rutgers,Big Ten,0-2,90.9%(20-2),157.8
#51,Notre Dame,Independent,1-Feb,70.8%(17-7),157.8
#53,California,ACC,1-Jan,73.9%(17-6),156.3
#54,Wake Forest,ACC,1-Feb,63.6%(14-8),156
#54,Houston,Big 12,1-Feb,72.7%(16-6),156
#54,Utah,Big 12,1-Feb,68.2%(15-7),156
#57,Minnesota,Big Ten,1-Jan,85.7%(18-3),154.8
#58,Duke,ACC,1-Feb,63.6%(14-8),153.3
#59,Pittsburgh,ACC,1-Feb,59.1%(13-9),151.3
#60,Illinois,Big Ten,1-Jan,81.0%(17-4),150.3
#61,Kansas State,Big 12,1-Feb,59.1%(13-9),150
#62,SMU,ACC,Feb-00,68.2%(15-7),149.5
#63,Texas Tech,Big 12,1-Feb,59.1%(13-9),143.5
#63,Indiana,Big Ten,1-Feb,63.6%(14-8),143.5
#65,Virginia,ACC,1-Feb,77.3%(17-5),142.5
#66,Miami,ACC,1-Feb,77.3%(17-5),141.5
#67,Iowa,Big Ten,1-Feb,61.9%(13-8),140.3
#68,NC State,ACC,1-Jan,77.3%(17-5),139.8
#69,Penn State,Big Ten,1-Feb,66.7%(16-8),129.3
#70,San Diego State,Pac-12,1-Jan,45.0%(9-11),85.5
#71,Washington State,Pac-12,0-2,50.0%(10-10),82.5
#72,Utah State,Pac-12,0-2,55.0%(11-9),80
#73,Texas State,Pac-12,0-2,50.0%(10-10),70.5
#75,Tulane,The American,1-Jan,68.0%(17-8),60.3
#76,Boise State,Pac-12,1-Jan,38.1%(8-13),59.8
#77,Colorado State,Pac-12,1-Feb,40.0%(8-12),59.3
#78,Rice,The American,1-Jan,59.1%(13-9),55.5
#79,UTSA,The American,1-Feb,63.6%(14-8),51
#80,UConn,Independent,1-Jan,68.2%(15-7),48.5
#81,Charlotte,The American,0-2,60.9%(14-9),47.8
#82,UTEP,Mountain West,1-Jan,56.0%(14-11),45.5
#83,Georgia Southern,Sun Belt,1-Jan,69.6%(16-7),43.5
#84,Kent State,MAC,1-Jan,50.0%(12-12),40.5
#85,Louisiana Tech,Sun Belt,1-Jan,54.5%(12-10),39.8
#86,North Texas,The American,1-Jan,52.2%(12-11),39.5
#87,Northern Illinois,Mountain West,0-2,61.5%(16-10),38.8
#88,Navy,The American,1-Jan,60.9%(14-9),38.5
#88,Western Kentucky,Conference USA,0-2,50.0%(12-12),38.5
#90,Tulsa,The American,Feb-00,45.5%(10-12),37
#91,Temple,The American,1-Jan,52.2%(12-11),35.8
#92,Bowling Green,MAC,0-2,60.9%(14-9),34
#93,Missouri State,Conference USA,1-Jan,45.8%(11-13),33.8
#94,UNLV,Mountain West,2-Jan,57.1%(16-12),33.5
#95,East Carolina,The American,0-2,60.9%(14-9),33.3
#96,Akron,MAC,1-Jan,54.2%(13-11),32.8
#97,Florida Atlantic,The American,1-Jan,59.1%(13-9),32.3
#98,Miami (OH),MAC,1-Jan,59.1%(13-9),32
#99,Old Dominion,Sun Belt,1-Jan,63.6%(14-8),31
#100,Ball State,MAC,1-Jan,50.0%(11-11),30
#101,UAB,The American,1-Jan,47.8%(11-12),28.5
#101,Coastal Carolina,Sun Belt,1-Jan,68.2%(15-7),28.5
#103,Hawai'i,Mountain West,2-Jan,51.7%(15-14),28
#104,Army,The American,1-Jan,56.5%(13-10),27.5
#104,Southern Miss,Sun Belt,1-Jan,59.1%(13-9),27.5
#106,Memphis,The American,1-Feb,43.5%(10-13),25.8
#107,San José State,Mountain West,1-Feb,55.2%(16-13),25
#108,Eastern Michigan,MAC,2-Jan,58.3%(14-10),24.8
#109,Central Michigan,MAC,1-Jan,54.2%(13-11),22.3
#111,Delaware,Conference USA,1-Jan,50.0%(12-12),18
#111,New Mexico,Mountain West,1-Feb,51.9%(14-13),18
