Team,Opp,TeamScore,OppScore,Spread,Total,spread_value,total_value,OSRS,DSRS,TSRS,PYPA,RYPA,Pts_off,Pts_def,SOS,OSRS_opp,DSRS_opp,TSRS_opp,PYPA_opp,RYPA_opp,Pts_off_opp,Pts_def_opp,SOS_opp,tsrs_diff,osrs_diff,dsrs_diff,pypa_diff,rypa_diff,pts_off_diff,pts_def_diff,sos_diff,sos_factor,sos_factor_opp,adj_off,adj_def,adj_off_opp,adj_def_opp,adj_off_diff,adj_def_diff,sos_diff_norm,model_pred,edge,recommended_pick,confidence
james madison,liberty,20,13,-6.5,52.5,-6.5,52.5,4.65,5.95,10.6,8.95,6.69,37.1,18.4,7,-2.06,-5.27,-7.33,8.57,5.58,25.6,26.5,-19.3,-17.93,-6.71,-11.22,-0.38,-1.11,-11.5,8.1,-26.3,0.35,-0.965,37.1875,18.4875,25.35875,26.25875,-11.82875,7.77125,-1.315,-33.1365,-26.6365,james madison -6.5,Bet Favorite
notre dame,wisconsin,41,13,-20.5,47.5,-20.5,47.5,11.67,10.19,21.85,11.45,7.39,42,17.6,150.8,-6.46,8.69,2.23,8.71,5.46,12.8,21.6,149.3,-19.62,-18.13,-1.5,-2.74,-1.93,-29.2,4,-1.5,7.54,7.465,43.885,19.485,14.66625,23.46625,-29.21875,3.98125,-0.075,-46.3455,-25.8455,notre dame -20.5,Bet Favorite
miami (fl),stanford,45,6,-24.5,47.5,-24.5,47.5,6.76,13.72,20.48,10.52,6.31,30.9,14.8,138.8,-3,0.16,-2.84,8.93,4.58,18.8,29.2,170.8,-23.32,-9.76,-13.56,-1.59,-1.73,-12.1,14.4,32,6.94,8.54,32.635,16.535,20.935,31.335,-11.7,14.8,1.6,-42.383,-17.883,miami (fl) -24.5,Bet Favorite
iowa,northern illinois,40,0,-31.5,45.5,-31.5,45.5,4.06,9.8,13.86,8.36,6.01,29.3,16.1,141.8,-11.39,-2.86,-14.25,6.11,5.48,17.1,24.3,27.3,-28.11,-15.45,-12.66,-2.25,-0.53,-12.2,8.2,-114.5,7.09,1.365,31.0725,17.8725,17.44125,24.64125,-13.63125,6.76875,-5.725,-45.5025,-14.0025,iowa -31.5,Bet Favorite
clemson,lsu,10,51,10.5,51.5,10.5,51.5,2.25,4.17,6.42,9.1,5.43,27.2,20.5,154.5,-0.44,7.45,7,8.7,5.27,22.8,19.8,191.8,0.58,-2.69,3.28,-0.4,-0.16,-4.4,-0.7,37.3,7.725,9.59,29.13125,22.43125,25.1975,22.1975,-3.93375,-0.23375,1.865,-1.6985,-12.1985,clemson +10.5,Bet Underdog
california,ucla,24,45,1.5,55.5,1.5,55.5,1.29,-2.19,-0.9,8.71,4.28,25.3,27.2,154,-2.26,1.25,-1.01,8.42,6.21,18.2,33.4,168,-0.11,-3.55,3.44,-0.29,1.93,-7.1,6.2,14,7.7,8.4,27.225,29.125,20.3,35.5,-6.925,6.375,0.7,-10.4865,-11.9865,california +1.5,Bet Underdog
illinois,uab,42,23,-28.5,55.5,-28.5,55.5,5.56,6.23,11.79,10.15,5.49,29.4,23.6,142.8,-0.66,-10.96,-11.62,8.57,5.32,26.4,38.3,27,-23.41,-6.22,-17.19,-1.58,-0.17,-3,14.7,-115.8,7.14,1.35,31.185,25.385,26.7375,38.6375,-4.4475,13.2525,-5.79,-38.9425,-10.4425,illinois -28.5,Bet Favorite
coastal carolina,west virginia,24,31,21.5,56.5,21.5,56.5,-3.96,-3.06,-7.02,6.7,5.62,22.2,33.1,18.5,-1.99,0.69,-1.29,8.89,5.53,21.8,30.8,159,5.73,1.97,3.75,2.19,-0.09,-0.4,-2.3,140.5,0.925,7.95,22.43125,33.33125,23.7875,32.7875,1.35625,-0.54375,7.025,11.328,-10.172,coastal carolina +21.5,Bet Underdog
colorado state,wyoming,35,13,-3.5,47.5,-3.5,47.5,-6.47,-6.15,-12.63,8.4,4.75,18.5,30.8,47.3,-11.59,1.5,-10.09,6.89,4.87,16,20.5,-1.8,2.54,-5.12,7.65,-1.51,0.12,-2.5,-10.3,-49.1,2.365,-0.09,19.09125,31.39125,15.9775,20.4775,-3.11375,-10.91375,-2.455,6.8965,10.3965,wyoming +3.5,Bet Underdog
boston college,cincinnati,15,34,7.5,51.5,7.5,51.5,-1.65,-4,-5.64,9.34,4.86,25.4,32.8,179.5,3,0.66,3.65,10.04,7.24,30.3,25.6,152.5,9.29,4.65,4.66,0.7,2.38,4.9,-7.2,-27,8.975,7.625,27.64375,35.04375,32.20625,27.50625,4.5625,-7.5375,-1.35,18.3005,10.8005,cincinnati -7.5,Bet Favorite
michigan,western michigan,13,12,-27.5,47.5,-27.5,47.5,4.97,6.06,11.03,9.4,7.46,27.5,20.4,193,-4.5,4.96,0.46,7.64,5.55,24.9,17.4,15.5,-10.57,-9.47,-1.1,-1.76,-1.91,-2.6,-3,-177.5,9.65,0.775,29.9125,22.8125,25.09375,17.59375,-4.81875,-5.21875,-8.875,-15.0705,12.4295,western michigan +27.5,Bet Underdog
texas,texas state,59,7,-30.5,59.5,-30.5,59.5,5.2,7.28,12.48,9.62,6.13,30.5,20.3,213.8,7,-6.8,0.2,9.96,6.28,36.5,29,54.5,-12.28,1.8,-14.08,0.34,0.15,6,8.7,-159.3,10.69,2.725,33.1725,22.9725,37.18125,29.68125,4.00875,6.70875,-7.965,-17.365,13.135,texas state +30.5,Bet Favorite
indiana,north texas,52,16,-40.5,55.5,-40.5,55.5,10.06,15.42,25.48,11.9,7.03,41.6,11.7,145.3,13.47,-3.42,10.05,10.68,6.54,45.1,26.5,35,-15.43,3.41,-18.84,-1.22,-0.49,3.5,14.8,-110.3,7.265,1.75,43.41625,13.51625,45.5375,26.9375,2.12125,13.42125,-5.515,-26.5425,13.9575,north texas +40.5,Bet Underdog
sam houston,troy,21,24,16.5,51.5,16.5,51.5,-10.62,-9.31,-19.94,6.79,5.18,17.8,37.8,0.3,-3.7,-0.32,-4.02,7.83,4.05,23.5,23.9,12.5,15.92,6.92,8.99,1.04,-1.13,5.7,-13.9,12.2,0.015,0.625,17.80375,37.80375,23.65625,24.05625,5.8525,-13.7475,0.61,30.5285,14.0285,troy -16.5,Bet Favorite
nebraska,ohio,49,21,-23.5,47.5,-23.5,47.5,1.04,1.18,2.22,9.81,5.65,28.7,24.6,168.8,0.19,-1.9,-1.71,8.84,6.18,27.8,21.9,-3.3,-3.93,-0.85,-3.08,-0.97,0.53,-0.9,-2.7,-172.1,8.44,-0.165,30.81,26.71,27.75875,21.85875,-3.05125,-4.85125,-8.605,-7.1055,16.3945,ohio +23.5,Bet Underdog
colorado,georgia tech,14,13,6.5,50.5,6.5,50.5,-1.67,0.52,-1.15,8.86,5.2,20.9,30.5,166.8,7.24,1.23,8.47,10.46,7.13,32.2,25,168.3,9.62,8.91,0.71,1.6,1.93,11.3,-5.5,1.5,8.34,8.415,22.985,32.585,34.30375,27.10375,11.31875,-5.48125,0.075,23.561,17.061,georgia tech -6.5,Bet Favorite
florida international,south florida,9,19,13.5,54.5,13.5,54.5,-3.32,-3.36,-6.68,7.39,5.52,28.5,30,-11.5,8.57,2.11,10.67,10.27,6.85,40.5,23.4,-4,17.35,11.89,5.47,2.88,1.33,12,-6.6,7.5,-0.575,-0.2,28.35625,29.85625,40.45,23.35,12.09375,-6.50625,0.375,32.048,18.548,south florida -13.5,Bet Favorite
alabama,east carolina,48,10,-28.5,53.5,-28.5,53.5,5.53,7.77,13.3,9.78,5.75,29.5,19.2,173.3,1.46,5.52,6.98,9.45,5.47,32.7,20.1,27,-6.32,-4.07,-2.25,-0.33,-0.28,3.2,0.9,-146.3,8.665,1.35,31.66625,21.36625,33.0375,20.4375,1.37125,-0.92875,-7.315,-7.989,20.511,east carolina +28.5,Bet Underdog
ball state,ohio state,3,56,50.5,56.5,50.5,56.5,-10.5,-5.31,-15.8,7.18,4.57,15.8,29.8,25.8,5.96,17.12,23.08,11.32,6.28,33.4,9.3,181,38.88,16.46,22.43,4.14,1.71,17.6,-20.5,155.2,1.29,9.05,16.1225,30.1225,35.6625,11.5625,19.54,-18.56,7.76,71.8465,21.3465,ohio state -50.5,Bet Favorite
nevada,western kentucky,49,14,2.5,53.5,2.5,53.5,-10.66,-2.88,-13.55,7.54,5.37,17.6,27.5,10.3,0.36,-3.25,-2.89,8.1,5.16,29.5,22.8,33.3,10.66,11.02,-0.37,0.56,-0.21,11.9,-4.7,23,0.515,1.665,17.72875,27.62875,29.91625,23.21625,12.1875,-4.4125,1.15,23.9635,21.4635,western kentucky -2.5,Bet Favorite
massachusetts,rutgers,37,21,29.5,52.5,29.5,52.5,-14.94,-11.61,-26.55,6.25,3.91,11.1,38.6,-6.3,5.92,-3.45,2.46,10.69,5.37,28.7,31.8,139.8,29.01,20.86,8.16,4.44,1.46,17.6,-6.8,146.1,-0.315,6.99,11.02125,38.52125,30.4475,33.5475,19.42625,-4.97375,7.305,51.554,22.054,rutgers -29.5,Bet Favorite
oklahoma state,tulsa,10,24,-14,60.5,-14,60.5,-9.03,0.03,-9,7.82,5.28,14.2,33.3,147.5,-3.45,-5.77,-9.22,7.44,5.59,23.2,28.9,44.8,-0.22,5.58,-5.8,-0.38,0.31,9,-4.4,-102.7,7.375,2.24,16.04375,35.14375,23.76,29.46,7.71625,-5.68375,-5.135,8.101,22.101,tulsa +14.0,Bet Underdog
michigan state,toledo,30,20,-10,49.5,-10,49.5,3.65,-4.6,-0.95,9.35,5.33,24.6,29.9,171.3,-1.85,5.62,3.78,9.15,5.99,30.8,13.3,1.5,4.73,-5.5,10.22,-0.2,0.66,6.2,-16.6,-169.8,8.565,0.075,26.74125,32.04125,30.81875,13.31875,4.0775,-18.7225,-8.49,18.442,28.442,toledo +10.0,Bet Underdog
