Team,Opp,TeamScore,OppScore,Spread,Total,spread_value,total_value,OSRS,DSRS,TSRS,PYPA,RYPA,Pts_off,Pts_def,SOS,OSRS_opp,DSRS_opp,TSRS_opp,PYPA_opp,RYPA_opp,Pts_off_opp,Pts_def_opp,SOS_opp,tsrs_diff,osrs_diff,dsrs_diff,pypa_diff,rypa_diff,pts_off_diff,pts_def_diff,sos_diff,sos_factor,sos_factor_opp,adj_off,adj_def,adj_off_opp,adj_def_opp,adj_off_diff,adj_def_diff,sos_diff_norm,term_tsrs,term_osrs,term_dsrs,term_pypa,term_rypa,term_off,term_def,term_sos,model_pred,edge,recommended_pick,confidence
buffalo,florida international,20,33,10,47.5,10,47.5,-5.39,-4.69,-10.08,7.51,4.6,21,17,-7.8,-3.32,-3.36,-6.68,7.39,5.52,9,19,-11.5,3.4,2.07,1.33,-0.12,0.92,-12,2,-3.7,-0.39,-0.575,20.9025,16.9025,8.85625,18.85625,-12.04625,1.95375,-0.185,2.04,0.5175,0.3325,-0.036,0.276,-10.2393125,1.6606875,-0.111,-8.881,-18.881,buffalo +10.0,Bet Underdog
arizona state,texas a&m,20,48,14.5,50.5,14.5,50.5,3.19,4.51,7.69,8.52,6.69,70,7,156.8,11.49,6.12,17.62,10.41,6.89,50,0,187,9.93,8.3,1.61,1.89,0.2,-20,-7,30.2,7.84,9.35,71.96,8.96,52.3375,2.3375,-19.6225,-6.6225,1.51,5.958,2.075,0.4025,0.567,0.06,-16.679125,-5.629125,0.906,-1.0815,-15.5815,arizona state +14.5,Bet Underdog
ohio state,texas,23,24,1.5,47.5,1.5,47.5,5.96,17.12,23.08,11.32,6.28,56,3,181,5.2,7.28,12.48,9.62,6.13,59,7,213.8,-10.6,-0.76,-9.84,-1.7,-0.15,3,4,32.8,9.05,10.69,58.2625,5.2625,61.6725,9.6725,3.41,4.41,1.64,-6.36,-0.19,-2.46,-0.51,-0.045,2.8985,3.7485,0.984,-9.431,-10.931,ohio state +1.5,Bet Underdog
penn state,temple,27,9,-24.5,49.5,-24.5,49.5,6.18,3.94,10.12,9.41,6.23,45,0,126,-0.8,-4.59,-5.39,8.18,5.71,38,14,32.8,-15.51,-6.98,-8.53,-1.23,-0.52,-7,14,-93.2,6.3,1.64,46.575,1.575,38.41,14.41,-8.165,12.835,-4.66,-9.306,-1.745,-2.1325,-0.369,-0.156,-6.94025,10.90975,-2.796,-34.3545,-9.8545,penn state -24.5,Bet Favorite
louisiana,usc,30,49,31.5,60.5,31.5,60.5,-1.14,-5.8,-6.94,7.05,5.77,38,7,-7,10.14,4.57,14.71,11.46,6.79,40.5,13,171,21.65,11.28,10.37,4.41,1.02,2.5,6,178,-0.35,8.55,37.9125,6.9125,42.6375,15.1375,4.725,8.225,8.9,12.99,2.82,2.5925,1.323,0.306,4.01625,6.99125,5.34,22.3965,-9.1035,louisiana +31.5,Bet Underdog
delaware,vanderbilt,26,35,21,53.5,21,53.5,0.36,-8.52,-8.16,8.04,4.45,42,7,12,12.28,2.38,14.67,11.39,7.61,28,9,180.3,22.83,11.92,10.9,3.35,3.16,-14,2,168.3,0.6,9.015,42.15,7.15,30.25375,11.25375,-11.89625,4.10375,8.415,13.698,2.98,2.725,1.005,0.948,-10.1118125,3.4881875,5.049,12.805,-8.195,delaware +21.0,Bet Underdog
kansas,missouri,21,38,6.5,51.5,6.5,51.5,4.81,-1.93,2.88,9.85,6.57,51,6,152.3,1.62,7.33,8.96,8.37,7.08,54,14,186.8,6.08,-3.19,9.26,-1.48,0.51,3,8,34.5,7.615,9.34,52.90375,7.90375,56.335,16.335,3.43125,8.43125,1.725,3.648,-0.7975,2.315,-0.444,0.153,2.9165625,7.1665625,1.035,1.6595,-4.8405,missouri -6.5,Bet Favorite
charlotte,ole miss,9,41,44.5,61.5,44.5,61.5,-10.28,-8.16,-18.45,8.04,4.14,41,43,38.5,11.72,4.49,16.2,10.86,6.72,41,38,185.5,34.65,22,12.65,2.82,2.58,0,-5,147,1.925,9.275,41.48125,43.48125,43.31875,40.31875,1.8375,-3.1625,7.35,20.79,5.5,3.1625,0.846,0.774,1.561875,-2.688125,4.41,39.7325,-4.7675,ole miss -44.5,Bet Favorite
alabama,kentucky,45,17,-10,48.5,-10,48.5,5.53,7.77,13.3,9.78,5.75,48,10,173.3,-0.65,2.71,2.06,8.52,5.83,45,13,194.8,-11.24,-6.18,-5.06,-1.26,0.08,-3,3,21.5,8.665,9.74,50.16625,12.16625,47.435,15.435,-2.73125,3.26875,1.075,-6.744,-1.545,-1.265,-0.378,0.024,-2.3215625,2.7784375,0.645,-14.363,-4.363,alabama -10.0,Bet Favorite
minnesota,mississippi state,13,38,1.5,55.5,1.5,55.5,-1.9,4.76,2.86,8.22,5.03,59,7,147.5,4.89,-3.05,1.84,10.23,5.58,62,13,191.3,-1.02,6.79,-7.81,2.01,0.55,3,6,43.8,7.375,9.565,60.84375,8.84375,64.39125,15.39125,3.5475,6.5475,2.19,-0.612,1.6975,-1.9525,0.603,0.165,3.015375,5.565375,1.314,-1.335,-2.835,mississippi state -1.5,Lean Favorite
georgia state,kennesaw state,31,17,8.5,54.5,8.5,54.5,-6.53,-7.24,-13.77,7.64,5.38,59,10,12,0.18,-1.52,-1.34,9.31,5.17,47,0,3,12.43,6.71,5.72,1.67,-0.21,-12,-10,-9,0.6,0.15,59.15,10.15,47.0375,0.0375,-12.1125,-10.1125,-0.45,7.458,1.6775,1.43,0.501,-0.063,-10.295625,-8.595625,-0.27,9.0335,0.5335,kennesaw state -8.5,No Model Edge
iowa,iowa state,16,13,-14.5,41.5,-14.5,41.5,4.06,9.8,13.86,8.36,6.01,40,0,141.8,3.15,5.72,8.86,9.47,6.04,38,10,157,-5,-0.91,-4.08,1.11,0.03,-2,10,15.2,7.09,7.85,41.7725,1.7725,39.9625,11.9625,-1.81,10.19,0.76,-3,-0.2275,-1.02,0.333,0.009,-1.5385,8.6615,0.456,-13.6495,0.8505,iowa -14.5,No Model Edge
purdue,wake forest,36,38,3,49.5,3,49.5,-1.61,-0.96,-2.58,8.74,5.74,44,19,184.5,1.41,4.64,6.04,8.98,5.86,38,16,151.5,8.62,3.02,5.6,0.24,0.12,-6,-3,-33,9.225,7.575,46.30625,21.30625,39.89375,17.89375,-6.4125,-3.4125,-1.65,5.172,0.755,1.4,0.072,0.036,-5.450625,-2.900625,-0.99,3.895,0.895,wake forest -3.0,No Model Edge
