Team,Opp,Spread,Total
Rutgers,Boston College,3.5,55.5
Boston College,Rutgers,-3.5,55.5
Missouri,Kansas,-6.5,51.5
Kansas,Missouri,6.5,51.5
Arizona State,Texas A&M,14.5,50.5
Texas A&M,Arizona State,-14.5,50.5
Oklahoma,Michigan,-4.5,44.5
Michigan,Oklahoma,4.5,44.5
Oregon,Oklahoma State,-22.5,59.5
Oklahoma State,Oregon,22.5,59.5
Penn State,Temple,-23.5,49.5
Temple,Penn State,23.5,49.5
Old Dominion,Virginia Tech,18.5,51.5
Virginia Tech,Old Dominion,-18.5,51.5
Washington State,Kansas State,18.5,49.5
Kansas State,Washington State,-18.5,49.5
Appalachian State,East Carolina,7.5,56.5
East Carolina,Appalachian State,-7.5,56.5
Wake Forest,Purdue,-4,49.5
Purdue,Wake Forest,4,49.5
South Florida,Army,3.5,47.5
Army,South Florida,-3.5,47.5
Western Kentucky,Georgia,40.5,54.5
Georgia,Western Kentucky,-40.5,54.5
Alabama,Kentucky,-10.5,48.5
Kentucky,Alabama,10.5,48.5
Arizona,BYU,7,51.5
BYU,Arizona,-7,51.5
Mississippi State,Minnesota,-1.5,55.5
Minnesota,Mississippi State,1.5,55.5
UCF,Pitt,7,57.5
Pitt,UCF,-7,57.5
Eastern Michigan,Michigan State,17.5,50.5
Michigan State,Eastern Michigan,-17.5,50.5
Duke,Illinois,7.5,54.5
Illinois,Duke,-7.5,54.5
Utah State,Washington,26.5,55.5
Washington,Utah State,-26.5,55.5
California,Syracuse,3.5,56.5
Syracuse,California,-3.5,56.5
Maryland,Connecticut,12.5,52.5
Connecticut,Maryland,-12.5,52.5
Louisiana-Monroe,UAB,10.5,55.5
UAB,Louisiana-Monroe,-10.5,55.5
Rice,Notre Dame,44.5,54.5
Notre Dame,Rice,-44.5,54.5
UTSA,Texas State,1.5,64.5
Texas State,UTSA,-1.5,64.5
UNLV,North Texas,-3.5,56.5
North Texas,UNLV,3.5,56.5
Delaware,Vanderbilt,20.5,53.5
Vanderbilt,Delaware,-20.5,53.5
Memphis,Boise State,8.5,54.5
Boise State,Memphis,-8.5,54.5
Buffalo,Florida International,10.5,47.5
Florida International,Buffalo,-10.5,47.5
Jacksonville State,Ohio,3,51.5
Ohio,Jacksonville State,-3,51.5
Tennessee,Georgia Tech,-13.5,55.5
Georgia Tech,Tennessee,13.5,55.5
Bowling Green,Nebraska,28.5,51.5
Nebraska,Bowling Green,-28.5,51.5
South Alabama,Tulane,9.5,49.5
Tulane,South Alabama,-9.5,49.5
Tulsa,Sam Houston,13.5,51.5
Sam Houston,Tulsa,-13.5,51.5
Georgia State,Kennesaw State,9.5,54.5
Kennesaw State,Georgia State,-9.5,54.5
San Diego State,UCLA,11.5,53.5
UCLA,San Diego State,-11.5,53.5
Ohio State,Texas,1.5,47.5
Texas,Ohio State,-1.5,47.5
Louisiana Tech,LSU,35.5,55.5
LSU,Louisiana Tech,-35.5,55.5
Iowa State,Iowa,14.5,41.5
Iowa,Iowa State,-14.5,41.5
Georgia Southern,Clemson,20.5,55.5
Clemson,Georgia Southern,-20.5,55.5
Texas Tech,Oregon State,-26.5,51.5
Oregon State,Texas Tech,26.5,51.5
Navy,Florida Atlantic,-4.5,59.5
Florida Atlantic,Navy,4.5,59.5
Southern Mississippi,Auburn,33.5,54.5
Auburn,Southern Mississippi,-33.5,54.5
Charlotte,Ole Miss,47.5,61.5
Ole Miss,Charlotte,-47.5,61.5
Arkansas,Utah,12.5,56.5
Utah,Arkansas,-12.5,56.5
Louisiana,USC,31.5,60.5
USC,Louisiana,-31.5,60.5
New Mexico State,Hawaii,9.5,50.5
Hawaii,New Mexico State,-9.5,50.5
