Rk_off,School,Pts_off,Cmp_off,PAtt,Pct_off,PYds,PTD_off,Ratt_off,Ryds_off,Avg_off,RTD_off,Plays_off,Yds_off,Avg.1_off,PFD_off,RFD_off,Rk_def,Pts_def,Cmp_def,Patt,Pct_def,Pyds,PTD_def,Ratt_def,Ryds_def,Avg_def,RTD_def,Plays_def,Yds_def,Avg.1_def,PFD_def,RFD_def,Rk,W,L,OSRS,DSRS,TSRS,Off,PYPA,RYPA
1,north texas,45.1,23.2,33.9,68.4,318,2.5,36.9,194.4,5.3,3.5,70.9,512.4,7.2,14.2,9.8,78,26.5,15.6,27.7,56.2,166.2,1.1,43.4,215.7,5,2,71.1,381.9,5.4,7.7,11.6,27,12,2,13.47,-3.42,10.05,59.46,10.68,6.54
2,notre dame,42,18.1,26.9,67.2,255.1,2.1,35.8,203.4,5.7,3.2,62.7,458.5,7.3,11.4,9.1,11,17.6,19.2,34.4,55.7,213.4,1.2,33.5,100.1,3,0.7,67.9,313.5,4.6,9.4,6.4,3,10,2,11.67,10.19,21.85,61.92,11.45,7.39
3,indiana,41.6,18.3,25.4,71.9,239.1,2.9,41.2,212.9,5.2,2.2,66.6,452,6.8,10.6,11.5,2,11.7,18.9,30.4,62,188.8,0.6,25.8,77.2,3,0.5,56.3,266,4.7,8.4,4.1,1,16,0,10.06,15.42,25.48,64.98,11.9,7.03
4,utah,41.3,18,28.7,62.7,216.6,2.1,44.2,266.3,6,3.2,72.9,482.9,6.6,9.5,13.8,18,18.9,14.6,29.6,49.4,177.8,0.9,37.5,181.2,4.8,1.4,67.2,359,5.3,7.8,9.4,8,11,2,11.05,6.43,17.48,59.77,9.62,7.65
5,south florida,40.5,20.7,31.2,66.4,276.6,2.5,38.9,212.1,5.4,2.2,70.1,488.7,7,10.5,10.8,53,23.4,22.7,36.8,61.6,242.8,1.2,38.5,143.7,3.7,1.6,75.3,386.5,5.1,11.4,8.7,24,9,4,8.57,2.11,10.67,55.06,10.27,6.85
6,tennessee,39.8,22.5,33.6,66.8,292.8,2,38.2,173.5,4.5,2.7,71.8,466.3,6.5,13.3,9.7,92,28.8,22.4,33.9,66,244.8,1.5,37.5,152.4,4.1,1.8,71.5,397.2,5.6,11.3,9.1,29,8,5,12.67,-3.59,9.08,58.2,10.34,6.29
7,texas tech,39.4,22.8,34.7,65.6,278.5,2.4,39.4,182.9,4.6,2.1,74.1,461.4,6.2,11.3,10.4,3,11.8,20.4,34.5,59.2,190.1,0.8,31,68.1,2.2,0.6,65.5,258.3,3.9,7.4,5.1,4,12,2,6.67,14.39,21.06,57.51,9.84,6.32
8,vanderbilt,38.5,21.5,30.8,69.8,287.5,2.3,31.2,175.5,5.6,2.7,62,463.1,7.5,13.2,8.8,48,22.8,23.5,35.2,66.6,249.4,1.8,29.4,108.2,3.7,0.8,64.6,357.5,5.5,11.7,6.5,13,10,3,12.28,2.38,14.67,58.42,11.39,7.61
9,james madison,37.1,16.1,27.5,58.4,211.1,1.9,43.6,241.5,5.5,2.7,71.1,452.6,6.4,8.4,12.5,13,18.4,15.3,30.1,50.8,181.6,1.3,30.4,85.1,2.8,0.6,60.5,266.6,4.4,7.3,5.2,25,12,2,4.65,5.95,10.6,49.6,8.95,6.69
10,ole miss,36.9,22.7,34.9,65,313.3,1.7,38.4,176.3,4.6,2.6,73.3,489.7,6.7,13.3,9.9,37,21.1,17.3,30.5,56.8,198.9,1.1,35.9,149.1,4.1,1.3,66.5,348,5.2,8.5,8.5,10,13,2,11.72,4.49,16.2,58.65,10.86,6.72
11,oregon,36.9,20.9,29.1,71.6,253.6,2.1,36.7,198.6,5.4,2.3,65.9,452.2,6.9,11,9.5,12,17.9,15.1,28.3,53.3,157.9,1.3,33.9,115.7,3.4,0.9,62.1,273.7,4.4,7.3,6.8,5,13,2,11.08,9.51,20.6,59.96,10.81,7.32
12,texas state,36.5,19.5,27.8,70.1,250.8,1.6,43,222.1,5.2,2.8,70.8,472.8,6.7,9.8,11.7,95,29,20.5,30.9,66.2,218.1,1.8,38.8,164.8,4.2,1.9,69.8,382.9,5.5,10,9.3,70,7,6,7,-6.8,0.2,47.49,9.96,6.28
13,usc,35.8,21.5,32.3,66.7,296,2,32.9,169.5,5.1,2.2,65.2,465.5,7.1,13.2,7.8,51,23,19.9,30.3,65.7,207.5,1.7,32.9,143.2,4.4,1.2,63.2,350.8,5.5,9.5,8.5,12,9,4,10.14,4.57,14.71,56.85,11.46,6.79
14,utsa,35.5,23,34.5,66.7,247.6,2.6,34.2,171.2,5,1.6,68.6,418.8,6.1,11.1,8.3,93,28.8,18.2,30.3,59.9,222.7,2,35.2,149.6,4.2,1.2,65.5,372.3,5.7,10,6.8,58,7,6,5.9,-2.96,2.94,49.28,8.61,6.13
15,connecticut,35.3,23.7,34.8,68,284.4,2.3,31.3,160.8,5.1,2,66.2,445.2,6.7,11.8,8,81,27,19.8,30.2,65.4,218.5,1.3,42.1,199.5,4.7,2.2,72.3,418,5.8,10,11.5,84,9,4,3.63,-5.59,-1.96,44.86,8.86,5.95
16,duke,34.6,24,36.1,66.4,285.4,2.4,32.5,138.1,4.3,1.9,68.6,423.5,6.2,12.6,7.6,98,29.4,22.2,33.1,67.2,276.8,1.5,34.4,147.4,4.3,2.1,67.5,424.2,6.3,12.3,7.9,36,9,5,11.16,-3.46,7.7,53.06,9.89,5.82
